format,bits,family,distribution,SQNR_dB,MSE,KL_div,MaxAE,EffBits
FP16,8,Gaussian,Gauss(σ=0.5),73.6728,0.0,0.001178,0.0005,12.2368
SQ-Format-INT,8,Gaussian,Gauss(σ=0.5),41.0155,2e-05,1.884258,0.0078,6.8125
SQ-Format-FP,8,Gaussian,Gauss(σ=0.5),30.8894,0.000203,11.669854,0.0742,5.1306
INT8(T),8,Gaussian,Gauss(σ=0.5),40.9205,2e-05,3.45251,0.0078,6.7967
INT8(C),8,Gaussian,Gauss(σ=0.5),41.0174,2e-05,2.455134,0.0078,6.8128
HAD+INT8(T),8,Gaussian,Gauss(σ=0.5),40.8931,2e-05,0.068063,0.0171,6.7922
HAD+INT8(C),8,Gaussian,Gauss(σ=0.5),41.034,2e-05,0.06801,0.0171,6.8156
MXINT8,8,Gaussian,Gauss(σ=0.5),41.5672,1.7e-05,0.612349,0.0078,6.9042
MXFP8,8,Gaussian,Gauss(σ=0.5),30.6331,0.000215,11.66987,0.1118,5.0881
FP16,8,Gaussian,Gauss(σ=1.0),73.6728,0.0,0.001178,0.001,12.2368
SQ-Format-INT,8,Gaussian,Gauss(σ=1.0),41.0155,7.9e-05,1.884258,0.0156,6.8125
SQ-Format-FP,8,Gaussian,Gauss(σ=1.0),30.8894,0.000811,11.669854,0.1484,5.1306
INT8(T),8,Gaussian,Gauss(σ=1.0),40.9205,8e-05,3.45251,0.0156,6.7967
INT8(C),8,Gaussian,Gauss(σ=1.0),41.0174,7.9e-05,2.455134,0.0156,6.8128
HAD+INT8(T),8,Gaussian,Gauss(σ=1.0),40.8931,8.1e-05,0.068063,0.0342,6.7922
HAD+INT8(C),8,Gaussian,Gauss(σ=1.0),41.034,7.8e-05,0.06801,0.0342,6.8156
MXINT8,8,Gaussian,Gauss(σ=1.0),41.5672,6.9e-05,0.612349,0.0156,6.9042
MXFP8,8,Gaussian,Gauss(σ=1.0),30.6331,0.00086,11.66987,0.2235,5.0881
FP16,8,Gaussian,Gauss(σ=2.0),73.6728,0.0,0.001178,0.002,12.2368
SQ-Format-INT,8,Gaussian,Gauss(σ=2.0),41.0155,0.000315,1.884258,0.0312,6.8125
SQ-Format-FP,8,Gaussian,Gauss(σ=2.0),30.8894,0.003243,11.669854,0.2968,5.1306
INT8(T),8,Gaussian,Gauss(σ=2.0),40.9205,0.000322,3.45251,0.0312,6.7967
INT8(C),8,Gaussian,Gauss(σ=2.0),41.0174,0.000315,2.455134,0.0312,6.8128
HAD+INT8(T),8,Gaussian,Gauss(σ=2.0),40.8931,0.000324,0.068063,0.0684,6.7922
HAD+INT8(C),8,Gaussian,Gauss(σ=2.0),41.034,0.000314,0.06801,0.0684,6.8156
MXINT8,8,Gaussian,Gauss(σ=2.0),41.5672,0.000277,0.612349,0.0312,6.9042
MXFP8,8,Gaussian,Gauss(σ=2.0),30.6331,0.00344,11.66987,0.447,5.0881
FP16,8,Gaussian,Gauss(σ=5.0),73.6481,1e-06,0.000479,0.0077,12.2327
SQ-Format-INT,8,Gaussian,Gauss(σ=5.0),42.2667,0.001476,0.054471,0.1247,7.0204
SQ-Format-FP,8,Gaussian,Gauss(σ=5.0),30.4378,0.022487,11.177341,1.8943,5.0556
INT8(T),8,Gaussian,Gauss(σ=5.0),36.7076,0.005308,12.132758,0.125,6.097
INT8(C),8,Gaussian,Gauss(σ=5.0),42.4959,0.0014,0.043792,0.1228,7.0584
HAD+INT8(T),8,Gaussian,Gauss(σ=5.0),36.7848,0.005215,0.056265,0.2591,6.1098
HAD+INT8(C),8,Gaussian,Gauss(σ=5.0),42.4085,0.001428,0.019612,0.1861,7.0439
MXINT8,8,Gaussian,Gauss(σ=5.0),42.6498,0.001351,0.044208,0.1214,7.084
MXFP8,8,Gaussian,Gauss(σ=5.0),30.4319,0.022518,11.177359,1.8943,5.0546
FP16,8,Laplace,Laplace(b=0.5),73.6285,0.0,0.005854,0.001,12.2294
SQ-Format-INT,8,Laplace,Laplace(b=0.5),39.232,6e-05,0.237942,0.0156,6.5163
SQ-Format-FP,8,Laplace,Laplace(b=0.5),29.9964,0.000503,6.743743,0.3321,4.9823
INT8(T),8,Laplace,Laplace(b=0.5),38.0388,7.9e-05,2.497275,0.0156,6.3181
INT8(C),8,Laplace,Laplace(b=0.5),39.2866,5.9e-05,0.198161,0.0156,6.5254
HAD+INT8(T),8,Laplace,Laplace(b=0.5),37.9394,8.1e-05,0.039895,0.0315,6.3016
HAD+INT8(C),8,Laplace,Laplace(b=0.5),41.4173,3.6e-05,0.024088,0.0293,6.8793
MXINT8,8,Laplace,Laplace(b=0.5),40.42,4.6e-05,0.167805,0.0156,6.7136
MXFP8,8,Laplace,Laplace(b=0.5),29.8789,0.000516,6.743725,0.3321,4.9628
FP16,8,Laplace,Laplace(b=1.0),73.6285,0.0,0.005854,0.0019,12.2294
SQ-Format-INT,8,Laplace,Laplace(b=1.0),39.232,0.00024,0.237942,0.0312,6.5163
SQ-Format-FP,8,Laplace,Laplace(b=1.0),29.9964,0.002011,6.743743,0.6642,4.9823
INT8(T),8,Laplace,Laplace(b=1.0),38.0388,0.000316,2.497275,0.0312,6.3181
INT8(C),8,Laplace,Laplace(b=1.0),39.2866,0.000237,0.198161,0.0312,6.5254
HAD+INT8(T),8,Laplace,Laplace(b=1.0),37.9394,0.000323,0.039895,0.063,6.3016
HAD+INT8(C),8,Laplace,Laplace(b=1.0),41.4173,0.000145,0.024088,0.0585,6.8793
MXINT8,8,Laplace,Laplace(b=1.0),40.42,0.000182,0.167805,0.0312,6.7136
MXFP8,8,Laplace,Laplace(b=1.0),29.8789,0.002066,6.743725,0.6642,4.9628
FP16,8,Laplace,Laplace(b=2.0),73.6285,0.0,0.005854,0.0039,12.2294
SQ-Format-INT,8,Laplace,Laplace(b=2.0),39.232,0.000959,0.237942,0.0625,6.5163
SQ-Format-FP,8,Laplace,Laplace(b=2.0),29.9964,0.008043,6.743743,1.3284,4.9823
INT8(T),8,Laplace,Laplace(b=2.0),38.0388,0.001262,2.497275,0.0625,6.3181
INT8(C),8,Laplace,Laplace(b=2.0),39.2866,0.000947,0.198161,0.0625,6.5254
HAD+INT8(T),8,Laplace,Laplace(b=2.0),37.9394,0.001292,0.039895,0.1261,6.3016
HAD+INT8(C),8,Laplace,Laplace(b=2.0),41.4173,0.00058,0.024088,0.117,6.8793
MXINT8,8,Laplace,Laplace(b=2.0),40.42,0.00073,0.167805,0.0625,6.7136
MXFP8,8,Laplace,Laplace(b=2.0),29.8789,0.008263,6.743725,1.3284,4.9628
FP16,8,Student-t,Student-t(ν=3),74.0979,0.0,5.1e-05,0.0031,12.3074
SQ-Format-INT,8,Student-t,Student-t(ν=3),37.5847,0.000446,0.074151,0.0625,6.2427
SQ-Format-FP,8,Student-t,Student-t(ν=3),30.2586,0.002411,3.177536,0.8391,5.0258
INT8(T),8,Student-t,Student-t(ν=3),33.0095,0.00128,4.163755,0.0625,5.4828
INT8(C),8,Student-t,Student-t(ν=3),37.9014,0.000415,0.07558,0.0625,6.2953
HAD+INT8(T),8,Student-t,Student-t(ν=3),39.0283,0.00032,0.027037,0.07,6.4825
HAD+INT8(C),8,Student-t,Student-t(ν=3),42.0306,0.00016,0.030317,0.0686,6.9811
MXINT8,8,Student-t,Student-t(ν=3),39.4243,0.000292,0.048107,0.0621,6.5482
MXFP8,8,Student-t,Student-t(ν=3),30.1553,0.002469,3.177494,0.8391,5.0087
FP16,8,Student-t,Student-t(ν=5),73.7767,0.0,5.8e-05,0.0022,12.254
SQ-Format-INT,8,Student-t,Student-t(ν=5),38.6234,0.00023,0.063604,0.0625,6.4152
SQ-Format-FP,8,Student-t,Student-t(ν=5),30.2591,0.001578,3.70809,0.5939,5.0259
INT8(T),8,Student-t,Student-t(ν=5),31.1062,0.001298,8.015764,0.0625,5.1666
INT8(C),8,Student-t,Student-t(ν=5),38.4106,0.000242,0.068607,0.0624,6.3799
HAD+INT8(T),8,Student-t,Student-t(ν=5),37.1247,0.000325,0.032071,0.0634,6.1663
HAD+INT8(C),8,Student-t,Student-t(ν=5),41.3457,0.000123,0.009084,0.0486,6.8674
MXINT8,8,Student-t,Student-t(ν=5),39.9317,0.00017,0.054731,0.0615,6.6325
MXFP8,8,Student-t,Student-t(ν=5),30.3829,0.001534,3.707814,0.5939,5.0465
FP16,8,Student-t,Student-t(ν=10),73.7462,0.0,0.005654,0.0015,12.249
SQ-Format-INT,8,Student-t,Student-t(ν=10),40.2948,0.000116,0.127705,0.0311,6.6928
SQ-Format-FP,8,Student-t,Student-t(ν=10),30.4526,0.001115,8.222667,0.4267,5.0581
INT8(T),8,Student-t,Student-t(ν=10),35.7997,0.000325,8.744462,0.0312,5.9462
INT8(C),8,Student-t,Student-t(ν=10),40.1953,0.000118,0.135208,0.0312,6.6763
HAD+INT8(T),8,Student-t,Student-t(ν=10),35.801,0.000325,0.055904,0.0705,5.9464
HAD+INT8(C),8,Student-t,Student-t(ν=10),41.5144,8.7e-05,0.030389,0.059,6.8954
MXINT8,8,Student-t,Student-t(ν=10),41.2305,9.3e-05,0.123222,0.0312,6.8482
MXFP8,8,Student-t,Student-t(ν=10),30.3006,0.001155,8.227762,0.4267,5.0328
FP16,8,Bimodal,Bimodal(μ=±2.0),73.0707,0.0,0.006493,0.001,12.1368
SQ-Format-INT,8,Bimodal,Bimodal(μ=±2.0),46.9216,8.2e-05,6.928245,0.0156,7.7935
SQ-Format-FP,8,Bimodal,Bimodal(μ=±2.0),30.1905,0.003875,22.664848,0.1249,5.0145
INT8(T),8,Bimodal,Bimodal(μ=±2.0),46.9216,8.2e-05,6.928245,0.0156,7.7935
INT8(C),8,Bimodal,Bimodal(μ=±2.0),46.9216,8.2e-05,6.928245,0.0156,7.7935
HAD+INT8(T),8,Bimodal,Bimodal(μ=±2.0),40.8564,0.000332,0.06923,0.0706,6.7861
HAD+INT8(C),8,Bimodal,Bimodal(μ=±2.0),40.8564,0.000332,0.06923,0.0706,6.7861
MXINT8,8,Bimodal,Bimodal(μ=±2.0),46.9216,8.2e-05,6.928245,0.0156,7.7935
MXFP8,8,Bimodal,Bimodal(μ=±2.0),30.1905,0.003875,22.664848,0.1249,5.0145
FP16,8,Bimodal,Bimodal(μ=±3.0),74.4902,0.0,0.000824,0.001,12.3725
SQ-Format-INT,8,Bimodal,Bimodal(μ=±3.0),50.4046,8.2e-05,0.262384,0.0156,8.372
SQ-Format-FP,8,Bimodal,Bimodal(μ=±3.0),31.7886,0.00598,23.57735,0.4537,5.28
INT8(T),8,Bimodal,Bimodal(μ=±3.0),50.4046,8.2e-05,0.262384,0.0156,8.372
INT8(C),8,Bimodal,Bimodal(μ=±3.0),50.4046,8.2e-05,0.262384,0.0156,8.372
HAD+INT8(T),8,Bimodal,Bimodal(μ=±3.0),38.473,0.001283,0.046147,0.1455,6.3902
HAD+INT8(C),8,Bimodal,Bimodal(μ=±3.0),41.6166,0.000622,0.022935,0.1142,6.9124
MXINT8,8,Bimodal,Bimodal(μ=±3.0),50.4046,8.2e-05,0.262384,0.0156,8.372
MXFP8,8,Bimodal,Bimodal(μ=±3.0),31.7886,0.00598,23.57735,0.4537,5.28
FP16,8,Bimodal,Bimodal(μ=±5.0),72.9807,1e-06,0.000745,0.002,12.1218
SQ-Format-INT,8,Bimodal,Bimodal(μ=±5.0),48.9007,0.000322,6.95823,0.0312,8.1222
SQ-Format-FP,8,Bimodal,Bimodal(μ=±5.0),30.8461,0.020564,24.660862,0.25,5.1234
INT8(T),8,Bimodal,Bimodal(μ=±5.0),48.9007,0.000322,6.95823,0.0312,8.1222
INT8(C),8,Bimodal,Bimodal(μ=±5.0),48.9007,0.000322,6.95823,0.0312,8.1222
HAD+INT8(T),8,Bimodal,Bimodal(μ=±5.0),36.7824,0.005242,0.08203,0.2806,6.1094
HAD+INT8(C),8,Bimodal,Bimodal(μ=±5.0),42.5168,0.0014,0.018598,0.1874,7.0619
MXINT8,8,Bimodal,Bimodal(μ=±5.0),48.9007,0.000322,6.95823,0.0312,8.1222
MXFP8,8,Bimodal,Bimodal(μ=±5.0),30.8461,0.020564,24.660862,0.25,5.1234
FP16,8,Chan. Outlier,ChanOut(σ=30),73.4401,4e-06,0.000136,0.0304,12.1981
SQ-Format-INT,8,Chan. Outlier,ChanOut(σ=30),34.6508,0.028957,0.141571,0.4998,5.7554
SQ-Format-FP,8,Chan. Outlier,ChanOut(σ=30),28.1316,0.129919,1.114892,7.2985,4.6726
INT8(T),8,Chan. Outlier,ChanOut(σ=30),30.0826,0.082903,8.947735,0.4998,4.9966
INT8(C),8,Chan. Outlier,ChanOut(σ=30),40.3878,0.007728,0.626963,0.4989,6.7083
HAD+INT8(T),8,Chan. Outlier,ChanOut(σ=30),30.0377,0.083765,0.136856,1.0253,4.9892
HAD+INT8(C),8,Chan. Outlier,ChanOut(σ=30),40.6042,0.007352,0.11934,0.8173,6.7442
MXINT8,8,Chan. Outlier,ChanOut(σ=30),40.8749,0.006908,0.50995,0.4989,6.7892
MXFP8,8,Chan. Outlier,ChanOut(σ=30),30.4306,0.076519,1.114201,4.6633,5.0544
FP16,8,Chan. Outlier,ChanOut(σ=50),73.8594,1e-05,0.005464,0.0507,12.2678
SQ-Format-INT,8,Chan. Outlier,ChanOut(σ=50),34.2733,0.087137,0.179407,0.9977,5.6927
SQ-Format-FP,8,Chan. Outlier,ChanOut(σ=50),29.1477,0.283642,1.112555,12.6369,4.8413
INT8(T),8,Chan. Outlier,ChanOut(σ=50),28.5494,0.325538,10.348996,1.0,4.7419
INT8(C),8,Chan. Outlier,ChanOut(σ=50),40.5994,0.020305,0.241019,1.0,6.7434
HAD+INT8(T),8,Chan. Outlier,ChanOut(σ=50),28.4749,0.331168,0.123663,1.9772,4.7296
HAD+INT8(C),8,Chan. Outlier,ChanOut(σ=50),40.6966,0.019855,0.129463,1.8752,6.7596
MXINT8,8,Chan. Outlier,ChanOut(σ=50),40.6013,0.020296,0.241008,1.0,6.7437
MXFP8,8,Chan. Outlier,ChanOut(σ=50),29.1926,0.280724,1.112567,12.6369,4.8488
FP16,8,Chan. Outlier,ChanOut(σ=100),73.8598,3.8e-05,0.005464,0.1015,12.2678
SQ-Format-INT,8,Chan. Outlier,ChanOut(σ=100),34.8922,0.30137,0.211822,1.9859,5.7955
SQ-Format-FP,8,Chan. Outlier,ChanOut(σ=100),29.1434,1.132346,1.112222,25.2739,4.8406
INT8(T),8,Chan. Outlier,ChanOut(σ=100),30.0966,0.909206,9.346859,2.0,4.9989
INT8(C),8,Chan. Outlier,ChanOut(σ=100),40.5981,0.081006,0.243711,2.0,6.7432
HAD+INT8(T),8,Chan. Outlier,ChanOut(σ=100),30.0788,0.912947,0.136246,3.7504,4.996
HAD+INT8(C),8,Chan. Outlier,ChanOut(σ=100),40.6957,0.079205,0.129452,3.7504,6.7594
MXINT8,8,Chan. Outlier,ChanOut(σ=100),40.5985,0.080997,0.243707,2.0,6.7433
MXFP8,8,Chan. Outlier,ChanOut(σ=100),29.189,1.120518,1.112234,25.2739,4.8482
FP16,8,Spiky Outlier,Spiky(10×),72.9336,0.0,5.8e-05,0.007,12.114
SQ-Format-INT,8,Spiky Outlier,Spiky(10×),34.7486,0.000585,0.012234,0.1249,5.7716
SQ-Format-FP,8,Spiky Outlier,Spiky(10×),28.7057,0.002352,0.563181,1.5882,4.7679
INT8(T),8,Spiky Outlier,Spiky(10×),25.2642,0.005194,9.814225,0.125,4.1963
INT8(C),8,Spiky Outlier,Spiky(10×),34.7523,0.000584,0.018099,0.1249,5.7722
HAD+INT8(T),8,Spiky Outlier,Spiky(10×),37.2407,0.00033,0.012106,0.0651,6.1856
HAD+INT8(C),8,Spiky Outlier,Spiky(10×),42.4865,9.8e-05,0.017457,0.0651,7.0568
MXINT8,8,Spiky Outlier,Spiky(10×),37.0194,0.000347,0.013966,0.1249,6.1488
MXFP8,8,Spiky Outlier,Spiky(10×),28.3069,0.002578,0.563181,1.5882,4.7017
FP16,8,Spiky Outlier,Spiky(50×),75.8864,1e-06,2e-06,0.024,12.6045
SQ-Format-INT,8,Spiky Outlier,Spiky(50×),32.4669,0.011301,0.010345,0.4967,5.3926
SQ-Format-FP,8,Spiky Outlier,Spiky(50×),28.223,0.030027,0.131895,6.4371,4.6877
INT8(T),8,Spiky Outlier,Spiky(50×),23.7889,0.083352,4.000084,0.4998,3.9513
INT8(C),8,Spiky Outlier,Spiky(50×),32.2496,0.011881,0.010002,0.4974,5.3565
HAD+INT8(T),8,Spiky Outlier,Spiky(50×),35.9998,0.00501,0.000394,0.2743,5.9794
HAD+INT8(C),8,Spiky Outlier,Spiky(50×),47.2202,0.000378,0.000106,0.2008,7.8431
MXINT8,8,Spiky Outlier,Spiky(50×),35.2429,0.005964,0.007268,0.4974,5.8537
