format,bits,kappa,SQNR_dB,SQNR_dB_std,MSE,MSE_std,MaxAE,MaxAE_std,EffBits,EffBits_std
FP16,8,2.0,73.6822,0.1429,0.0,0.0,0.001,0.0001,12.2383,0.0237
SQ-Format-INT,8,2.0,41.001,0.1366,0.0001,0.0,0.0186,0.006,6.8101,0.0227
SQ-Format-FP,8,2.0,30.742,0.1676,0.0008,0.0,0.2899,0.1031,5.1061,0.0278
INT8(T),8,2.0,40.3015,1.8267,0.0001,0.0001,0.0175,0.0048,6.6939,0.3034
INT8(C),8,2.0,41.0527,0.1112,0.0001,0.0,0.0175,0.0048,6.8187,0.0185
HAD+INT8(T),8,2.0,37.8904,2.9867,0.0002,0.0001,0.0502,0.0182,6.2935,0.4961
HAD+INT8(C),8,2.0,40.952,0.13,0.0001,0.0,0.0389,0.0094,6.802,0.0216
MXINT8,8,2.0,41.7274,0.129,0.0001,0.0,0.0175,0.0048,6.9308,0.0214
MXFP8,8,2.0,30.225,0.2493,0.001,0.0001,0.2976,0.0966,5.0203,0.0414
FP16,8,3.0,73.6875,0.1429,0.0,0.0,0.001,0.0001,12.2392,0.0237
SQ-Format-INT,8,3.0,41.0063,0.1366,0.0001,0.0,0.0186,0.006,6.811,0.0227
SQ-Format-FP,8,3.0,30.7473,0.1676,0.0008,0.0,0.2899,0.1031,5.107,0.0278
INT8(T),8,3.0,40.3068,1.8267,0.0001,0.0001,0.0175,0.0048,6.6948,0.3034
INT8(C),8,3.0,41.058,0.1112,0.0001,0.0,0.0175,0.0048,6.8196,0.0185
HAD+INT8(T),8,3.0,37.8957,2.9867,0.0002,0.0001,0.0502,0.0182,6.2943,0.4961
HAD+INT8(C),8,3.0,40.9572,0.13,0.0001,0.0,0.0389,0.0094,6.8029,0.0216
MXINT8,8,3.0,41.7327,0.129,0.0001,0.0,0.0175,0.0048,6.9317,0.0214
MXFP8,8,3.0,30.2303,0.2493,0.001,0.0001,0.2976,0.0966,5.0211,0.0414
FP16,8,4.0,73.6949,0.1429,0.0,0.0,0.001,0.0001,12.2405,0.0237
SQ-Format-INT,8,4.0,40.811,0.1409,0.0001,0.0,0.0306,0.0006,6.7786,0.0234
SQ-Format-FP,8,4.0,30.7547,0.1676,0.0008,0.0,0.2899,0.1031,5.1082,0.0278
INT8(T),8,4.0,34.8767,0.0526,0.0003,0.0,0.0312,0.0,5.7929,0.0087
INT8(C),8,4.0,40.8624,0.1063,0.0001,0.0,0.0307,0.0008,6.7871,0.0176
HAD+INT8(T),8,4.0,37.9024,2.9861,0.0002,0.0001,0.0502,0.0182,6.2955,0.496
HAD+INT8(C),8,4.0,40.964,0.1295,0.0001,0.0,0.0389,0.0094,6.804,0.0215
MXINT8,8,4.0,41.6281,0.1329,0.0001,0.0,0.03,0.0011,6.9143,0.0221
MXFP8,8,4.0,30.2377,0.2493,0.001,0.0001,0.2976,0.0966,5.0224,0.0414
FP16,8,5.0,73.7044,0.1429,0.0,0.0,0.001,0.0001,12.242,0.0237
SQ-Format-INT,8,5.0,40.8205,0.1409,0.0001,0.0,0.0306,0.0006,6.7801,0.0234
SQ-Format-FP,8,5.0,30.7642,0.1676,0.0008,0.0,0.2899,0.1031,5.1098,0.0278
INT8(T),8,5.0,34.8862,0.0526,0.0003,0.0,0.0312,0.0,5.7945,0.0087
INT8(C),8,5.0,40.8719,0.1063,0.0001,0.0,0.0307,0.0008,6.7887,0.0176
HAD+INT8(T),8,5.0,37.6113,2.9709,0.0002,0.0001,0.052,0.0181,6.2471,0.4935
HAD+INT8(C),8,5.0,40.9654,0.128,0.0001,0.0,0.0396,0.0093,6.8042,0.0213
MXINT8,8,5.0,41.6376,0.1329,0.0001,0.0,0.03,0.0011,6.9158,0.0221
MXFP8,8,5.0,30.2472,0.2493,0.001,0.0001,0.2976,0.0966,5.024,0.0414
FP16,8,6.0,73.7159,0.1429,0.0,0.0,0.001,0.0001,12.244,0.0237
SQ-Format-INT,8,6.0,40.8321,0.1409,0.0001,0.0,0.0306,0.0006,6.7821,0.0234
SQ-Format-FP,8,6.0,30.7758,0.1676,0.0008,0.0,0.2899,0.1031,5.1117,0.0278
INT8(T),8,6.0,34.8978,0.0526,0.0003,0.0,0.0312,0.0,5.7964,0.0087
INT8(C),8,6.0,40.8835,0.1063,0.0001,0.0,0.0307,0.0008,6.7906,0.0177
HAD+INT8(T),8,6.0,37.0285,2.8537,0.0002,0.0001,0.0552,0.0175,6.1503,0.474
HAD+INT8(C),8,6.0,40.9528,0.132,0.0001,0.0,0.0411,0.0096,6.8021,0.0219
MXINT8,8,6.0,41.6491,0.1329,0.0001,0.0,0.03,0.0011,6.9178,0.0221
MXFP8,8,6.0,30.2588,0.2493,0.001,0.0001,0.2976,0.0966,5.0259,0.0414
FP16,8,8.0,73.7453,0.1429,0.0,0.0,0.001,0.0001,12.2488,0.0237
SQ-Format-INT,8,8.0,40.1701,0.156,0.0001,0.0,0.0614,0.0009,6.6721,0.0259
SQ-Format-FP,8,8.0,30.8051,0.1676,0.0008,0.0,0.2899,0.1031,5.1166,0.0278
INT8(T),8,8.0,28.9123,0.0593,0.0013,0.0,0.0625,0.0,4.8022,0.0098
INT8(C),8,8.0,40.224,0.1226,0.0001,0.0,0.0615,0.001,6.6811,0.0204
HAD+INT8(T),8,8.0,37.0578,2.8537,0.0002,0.0001,0.0552,0.0175,6.1552,0.474
HAD+INT8(C),8,8.0,40.9721,0.1437,0.0001,0.0,0.0411,0.0096,6.8053,0.0239
MXINT8,8,8.0,41.246,0.1467,0.0001,0.0,0.0609,0.0012,6.8508,0.0244
MXFP8,8,8.0,30.2881,0.2492,0.001,0.0001,0.2976,0.0966,5.0307,0.0414
FP16,8,10.0,73.7827,0.1429,0.0,0.0,0.001,0.0001,12.255,0.0237
SQ-Format-INT,8,10.0,40.2075,0.156,0.0001,0.0,0.0614,0.0009,6.6783,0.0259
