distribution,format,transform,qsnr_y_db,qsnr_w_db,qsnr_x_db,crest_X,crest_W,tags
SmoothFriendly-Mild,INT4,base,10.549591638274553,15.065031862697342,12.304075434694454,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,INT4,smooth,13.552980606039846,6.333644711236972,16.86825216705472,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,INT4,had,13.293204716403144,15.420875013471738,16.836358229258547,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,FP4,base,12.1459391141332,18.333423870673144,13.125084756632202,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,FP4,smooth,14.86311369977059,12.180906941555836,17.70195864917892,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,FP4,had,15.744296306660603,18.437864235867874,18.94717163069509,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NF4,base,13.052502321558446,20.02685113491726,14.025420678239552,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NF4,smooth,17.745008360389367,12.338698986092718,20.77085657933391,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NF4,had,17.308164016401538,20.120303002216264,20.453699269424984,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NVFP4,base,10.953653644722067,17.678881680679932,11.785773182127997,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NVFP4,smooth,12.247339811783334,5.921072013016441,15.266561747870444,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,NVFP4,had,14.353999742241989,17.696441124001314,16.897044139679004,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,MXINT4,base,13.604968238899769,18.101354528152566,15.347391595749988,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,MXINT4,smooth,17.545873259797762,11.15997971154156,20.707187989714875,15.967650719257279,5.002880741873587,"smooth,mild"
