format,layer_name,layer_type,tensor_type,bits,mse,snr_db,eff_bits,max_ae,mean,std,outlier_ratio,n_batches,n_elements
FP32,embed,Linear,input,32,0.0,inf,inf,0.0,0.1365244546780963,0.31456167318907885,0.0,8,200704
FP32,embed,Linear,weight,32,0.0,inf,inf,0.0,0.0013572309447949596,0.11211745057736629,0.0,8,3584
FP32,embed,Linear,output,32,0.0,inf,inf,0.0,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
FP32,classifier,Linear,input,32,0.0,inf,inf,0.0,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
FP32,classifier,Linear,weight,32,0.0,inf,inf,0.0,0.0006549509339151882,0.08609854314684062,0.0,8,1280
FP32,classifier,Linear,output,32,0.0,inf,inf,0.0,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
FP16,embed,Linear,input,16,1.434973650980136e-09,78.3856768582145,13.019579109603244,0.00024318695068359375,0.1365244546780963,0.31456167318907885,0.0,8,200704
FP16,embed,Linear,weight,16,5.494429379270023e-10,73.5942383197755,12.22373839481492,0.00011605024337768555,0.0013572309447949596,0.11211745057736629,0.0,8,3584
FP16,embed,Linear,output,16,1.7375544628098028e-09,73.63488956094639,12.2304904198218,0.0004876852035522461,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
FP16,classifier,Linear,input,16,5.534065690203148e-08,73.56508359091629,12.218895899170104,0.0009760856628417969,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
FP16,classifier,Linear,weight,16,3.1954770033125155e-10,73.6545590940632,12.233757458555502,6.0945749282836914e-05,0.0006549509339151882,0.08609854314684062,0.0,8,1280
FP16,classifier,Linear,output,16,6.66728925525821e-07,73.69298204519728,12.240139372598541,0.0038881301879882812,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
SQ-FORMAT-INT,embed,Linear,input,4,0.0006130432857643841,22.079204721704944,3.667276523890068,0.12450981140136719,0.1365244546780963,0.31456167318907885,0.0,8,200704
SQ-FORMAT-INT,embed,Linear,weight,4,0.00016263639959331484,18.881286762546917,3.1361138482064725,0.03120473027229309,0.0013572309447949596,0.11211745057736629,0.0,8,3584
SQ-FORMAT-INT,embed,Linear,output,4,0.000867097060173433,16.653596685385047,2.766102535505182,0.12499797344207764,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
SQ-FORMAT-INT,classifier,Linear,input,4,0.016320190359080004,18.868274490005202,3.13395255651974,0.24996089935302734,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
SQ-FORMAT-INT,classifier,Linear,weight,4,5.974946957613644e-05,20.936575516395344,3.477489920932229,0.015606723725795746,0.0006549509339151882,0.08609854314684062,0.0,8,1280
SQ-FORMAT-INT,classifier,Linear,output,4,0.27546905966271734,17.53174675070148,2.911960104180274,0.9993503093719482,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
