format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits,enc_data_bits_per_element,enc_metadata_bits_per_element,dist_type,dist_sigma,enc_bandwidth_amplification,enc_dense_bits,enc_sparse_bits,enc_sparsity_ratio,dist_b,dist_nu,dist_mu1,dist_mu2,dist_outlier_ratio,dist_outlier_sigma,dist_n_outlier_channels,dist_spike_ratio,dist_spike_multiplier,dist_n_spikes,dist_mu
FP32,Gaussian(σ=1),32,0.0,inf,0.0,0.0,inf,32.0,0.0,gaussian,1.0,,,,,,,,,,,,,,,
BF16,Gaussian(σ=1),16,1.0032147713522154e-05,49.73607707840556,0.6887683200489708,0.015153169631958008,8.26098358881194,16.0,0.0,gaussian,1.0,,,,,,,,,,,,,,,
INT4,Gaussian(σ=1),4,0.023709988426819345,16.000702839410227,22.141216237621023,1.2145287990570068,2.657659215009041,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
INT8,Gaussian(σ=1),8,0.008722870783205746,20.343421868590916,1.7481227686653393,0.9801537990570068,3.378969232570906,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
MXINT4,Gaussian(σ=1),4,0.033505527777126426,14.4988516262673,20.35753180818674,1.2145287990570068,2.4082071280450332,4.0,0.25,gaussian,1.0,1.0625,,,,,,,,,,,,,,
MXINT8,Gaussian(σ=1),8,0.01994614849801088,16.75142577918445,2.049442267133614,0.9801537990570068,2.7823515962646623,8.0,0.25,gaussian,1.0,1.03125,,,,,,,,,,,,,,
MXFP4,Gaussian(σ=1),4,0.04375806739492169,13.339434930989091,21.18007596360895,1.4645287990570068,2.2156321833587262,4.0,0.25,gaussian,1.0,1.0625,,,,,,,,,,,,,,
MXFP8,Gaussian(σ=1),8,0.02967669747065501,15.025860564857974,11.505817803981103,1.2145287990570068,2.4957414180130897,8.0,0.25,gaussian,1.0,1.03125,,,,,,,,,,,,,,
NVFP4,Gaussian(σ=1),4,0.04375806739492169,13.339434930989091,21.18007596360895,1.4645287990570068,2.2156321833587262,4.0,0.0,gaussian,1.0,,,,,,,,,,,,,,,
NF4,Gaussian(σ=1),4,0.008887112365288892,20.262409546757603,21.83714478641127,0.3978703022003174,3.3655133771743997,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
FP6,Gaussian(σ=1),6,0.002215542287542299,26.295215822090945,15.81450443715689,0.21013259887695312,4.36754081002653,6.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
SQ-Format,Gaussian(σ=1),4,0.018892355774116604,16.987155104732775,22.049259793714818,0.9801537990570068,2.821505389731054,5.04,1.0,gaussian,1.0,1.26,4.0,8.0,0.01,,,,,,,,,,,
HAD+INT4(C),Gaussian(σ=1),4,0.011538372715266117,19.128570624013896,7.552865992919594,0.3423417806625366,3.177186808547442,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+INT8(C),Gaussian(σ=1),8,7.711908556049114e-05,40.87839754655227,0.5682612663041615,0.02485179901123047,6.7897548641933305,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+INT4(T),Gaussian(σ=1),4,0.011538372715266117,19.128570624013896,7.552865992919594,0.3423417806625366,3.177186808547442,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+INT8(T),Gaussian(σ=1),8,7.711908556049114e-05,40.87839754655227,0.5682612663041615,0.02485179901123047,6.7897548641933305,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+SQ,Gaussian(σ=1),4,0.05201605783886595,12.588641908711676,2.977945795022403,0.8356225490570068,2.090928161651289,5.04,1.0,gaussian,1.0,1.26,4.0,8.0,0.01,,,,,,,,,,,
HAD+LUT4,Gaussian(σ=1),4,0.019839397715091883,16.774731422379233,2.639509709277742,0.4597123861312866,2.786222579809571,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
RandRot+INT4,Gaussian(σ=1),4,0.020664124174416335,16.597846230077003,2.5258933817970357,0.45142102241516113,2.756842585315655,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
RandRot+INT8,Gaussian(σ=1),8,0.014799462636844087,18.04755679328905,2.2444678933474305,0.3942496180534363,2.9976342977851087,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
SmoothQuant+INT4,Gaussian(σ=1),4,0.014656919727152525,18.089589166152123,22.431406025477827,0.21167302131652832,3.0046157238005398,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
SmoothQuant+INT8,Gaussian(σ=1),8,4.719333575361611e-05,43.011209503882746,0.9573656551020544,0.011592268943786621,7.144007262301721,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+INT4,Gaussian(σ=1),4,0.011538372715266117,19.128570624013896,7.552865992919594,0.3423417806625366,3.177186808547442,4.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
HAD+INT8,Gaussian(σ=1),8,7.711908556049114e-05,40.87839754655227,0.5682612663041615,0.02485179901123047,6.7897548641933305,8.0,0.0,gaussian,1.0,1.0,,,,,,,,,,,,,,
FP32,Laplace(b=0.5),32,0.0,inf,0.0,0.0,inf,32.0,0.0,laplace,,,,,,0.5,,,,,,,,,,
BF16,Laplace(b=0.5),16,4.889869097331986e-06,49.31171455943349,0.4205973216097748,0.015369892120361328,8.190498500102414,16.0,0.0,laplace,,,,,,0.5,,,,,,,,,,
INT4,Laplace(b=0.5),4,0.011370379637114361,15.646937238178928,22.473998009180043,1.4126193523406982,2.5989000205222927,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
